Scanning escapes under prism-client/src...
app/admin/requests/page.tsx: any=0, Record=0, eslint=1
app/admin/workflows/page.tsx: any=0, Record=0, eslint=2
app/chat/page.tsx: any=0, Record=0, eslint=1
app/workflows/page.tsx: any=4, Record=0, eslint=1
components/AdminChatViewerComponent.tsx: any=20, Record=0, eslint=0
components/AgentAssertionsComponent.tsx: any=8, Record=1, eslint=0
components/AgentBadgeComponent.tsx: any=8, Record=0, eslint=0
components/AgentCardComponent.tsx: any=4, Record=2, eslint=0
components/AgentComponent.tsx: any=0, Record=0, eslint=5
components/AgentPickerComponent.tsx: any=9, Record=1, eslint=0
components/AnimatedFaviconComponent.tsx: any=4, Record=0, eslint=0
components/BenchmarkBarComponent.tsx: any=1, Record=0, eslint=0
components/BenchmarkDashboardComponent.tsx: any=17, Record=0, eslint=0
components/BenchmarkDashboardTableComponent.tsx: any=3, Record=0, eslint=0
components/BenchmarkDetailPageComponent.tsx: any=1, Record=0, eslint=0
components/BenchmarkFormComponent.tsx: any=16, Record=0, eslint=0
components/BenchmarkPageComponent.tsx: any=2, Record=0, eslint=0
components/BenchmarkPreviewSidebarComponent.tsx: any=10, Record=0, eslint=0
components/BenchmarksTableComponent.tsx: any=4, Record=0, eslint=0
components/ConversationsTableComponent.tsx: any=3, Record=0, eslint=0
components/CoordinatorPanelComponent.tsx: any=14, Record=0, eslint=0
components/CustomAgentsPanelComponent.tsx: any=0, Record=0, eslint=1
components/CustomToolsPanelComponent.tsx: any=5, Record=0, eslint=0
components/DistributionChartComponent.tsx: any=7, Record=0, eslint=0
components/DrawingCanvasComponent.tsx: any=16, Record=0, eslint=1
components/FileTypeIconComponent.tsx: any=2, Record=3, eslint=0
components/FileViewerPanelComponent.tsx: any=0, Record=0, eslint=2
components/FilterBarComponent.tsx: any=5, Record=0, eslint=0
components/FilterDropdownComponent.tsx: any=0, Record=0, eslint=1
components/ImagePreviewComponent.tsx: any=0, Record=0, eslint=2
components/JsonViewerComponent.tsx: any=5, Record=0, eslint=0
components/MCPServersPanelComponent.tsx: any=2, Record=0, eslint=0
components/MarkdownContentComponent.tsx: any=2, Record=0, eslint=1
components/MediaCardComponent.tsx: any=2, Record=0, eslint=1
components/MediaPageComponent.tsx: any=20, Record=1, eslint=0
components/MemoriesPanelComponent.tsx: any=17, Record=0, eslint=1
components/MessageListComponent.tsx: any=9, Record=0, eslint=1
components/ModelCardComponent.tsx: any=2, Record=0, eslint=0
components/ModelDetailPanelComponent.tsx: any=15, Record=0, eslint=0
components/ModelInfoPanelComponent.tsx: any=16, Record=0, eslint=0
components/ModelLoadConfigPanelComponent.tsx: any=6, Record=0, eslint=0
components/ModelToolsComponent.tsx: any=1, Record=1, eslint=0
components/ModelTypeBadgeComponent.tsx: any=1, Record=0, eslint=0
components/ModelsPageComponent.tsx: any=17, Record=0, eslint=0
components/ModelsTableComponent.tsx: any=3, Record=0, eslint=0
components/NavigationSidebarComponent.tsx: any=5, Record=0, eslint=1
components/PixelTransitionComponent.tsx: any=7, Record=0, eslint=1
components/ProjectsTableComponent.tsx: any=3, Record=0, eslint=0
components/ProvidersTableComponent.tsx: any=4, Record=0, eslint=0
components/RainbowCanvasComponent.tsx: any=6, Record=0, eslint=0
components/RequestDetailsComponent.tsx: any=1, Record=0, eslint=0
components/RequestsTableComponent.tsx: any=5, Record=0, eslint=0
components/ResourceCardComponent.tsx: any=2, Record=0, eslint=0
components/RunHistorySidebarComponent.tsx: any=9, Record=0, eslint=0
components/SessionRequestsListComponent.tsx: any=6, Record=0, eslint=0
components/SettingsPageComponent.tsx: any=8, Record=0, eslint=0
components/SidebarFilterComponent.tsx: any=0, Record=0, eslint=1
components/SpinningCatComponent.tsx: any=3, Record=0, eslint=1
components/StarfieldComponent.tsx: any=10, Record=0, eslint=0
components/StatusBarComponent.tsx: any=2, Record=3, eslint=0
components/SummaryBarComponent.tsx: any=2, Record=0, eslint=0
components/SynthesisComponent.tsx: any=2, Record=0, eslint=1
components/SynthesisHistoryPanelComponent.tsx: any=1, Record=0, eslint=0
components/TasksPanelComponent.tsx: any=15, Record=0, eslint=0
components/TextContentComponent.tsx: any=2, Record=0, eslint=0
components/TextPageComponent.tsx: any=9, Record=0, eslint=0
components/ThreeCanvasComponent.tsx: any=4, Record=0, eslint=1
components/ThreePanelLayoutComponent.tsx: any=0, Record=0, eslint=2
components/TimelineChartComponent.tsx: any=11, Record=0, eslint=0
components/ToolBadgeComponent.tsx: any=1, Record=1, eslint=0
components/ToolCallBadgeComponent.tsx: any=1, Record=0, eslint=0
components/ToolCountBadgeComponent.tsx: any=1, Record=0, eslint=0
components/ToolIconComponent.tsx: any=0, Record=4, eslint=0
components/ToolResultRenderersComponent.tsx: any=0, Record=0, eslint=1
components/ToolsPageComponent.tsx: any=1, Record=2, eslint=0
components/TracesTableComponent.tsx: any=4, Record=1, eslint=0
components/UserQuestionCardComponent.tsx: any=15, Record=2, eslint=0
components/VisionPageComponent.tsx: any=19, Record=0, eslint=2
components/VramBenchmarkComponent.tsx: any=2, Record=0, eslint=0
components/WordBadgeComponent.tsx: any=1, Record=0, eslint=0
components/WorkersPanelComponent.tsx: any=9, Record=0, eslint=0
components/WorkflowCanvasComponent.tsx: any=3, Record=3, eslint=0
components/WorkflowComponent.tsx: any=4, Record=0, eslint=0
components/WorkflowHeaderStatsComponent.tsx: any=8, Record=0, eslint=0
components/WorkflowInspectorComponent.tsx: any=1, Record=2, eslint=3
components/WorkflowNodeConstantsComponent.tsx: any=5, Record=2, eslint=0
components/WorkflowSidebarComponent.tsx: any=3, Record=0, eslint=0
components/WorkspaceSelectorComponent.tsx: any=7, Record=0, eslint=0
components/WorkspaceTreePanelComponent.tsx: any=19, Record=0, eslint=0
hooks/useProjectFilter.ts: any=0, Record=0, eslint=1
types/types.ts: any=4, Record=4, eslint=0
utils/requestDetailHelpers.tsx: any=8, Record=6, eslint=0
utils/tableColumns.tsx: any=3, Record=4, eslint=0
utils/utilities.ts: any=3, Record=0, eslint=0
